variant,seed,test_year,group,features,sharpe_loss,net_pnl_loss,action_disagreement_pct,delta_position_changes,delta_flat_pct
w/o Regime-in-Reward,42,2023,SpreadReturn,SpreadReturn,0.47334,0.07319,25.682730923694777,-1.7,-2.5301204819277103
w/o Regime-in-Reward,42,2023,RollStd20,RollStd20,-0.37346000000000007,-0.05881064999999998,21.325301204819276,6.05,-1.0642570281124488
w/o Regime-in-Reward,42,2023,DeltaBeta5d,DeltaBeta5d,-0.32345500000000005,-0.0493125,20.32128514056225,-0.45,-0.6024096385542163
w/o Regime-in-Reward,42,2023,VolS_roll20,VolS_roll20,-0.2941600000000001,-0.043151099999999956,22.449799196787147,-2.3,-3.4939759036144573
w/o Regime-in-Reward,42,2023,VolSM_roll20,VolSM_roll20,-0.03400500000000008,0.00039720000000000656,22.08835341365462,-4.7,-3.0923694779116464
w/o Regime-in-Reward,42,2023,RegimeEGScore,RegimeEGScore,-0.08228500000000008,-0.009974749999999996,21.485943775100402,-0.05,-0.7831325301204812
w/o Regime-in-Reward,42,2023,RegimeHLScore,RegimeHLScore,0.2366049999999999,0.03173514999999999,17.951807228915662,3.8,-0.0200803212851401
w/o Regime-in-Reward,42,2023,RegimeCVScore,RegimeCVScore,-0.044300000000000096,-0.007222049999999985,18.072289156626507,-6.4,-1.4658634538152604
w/o Regime-in-Reward,42,2023,EG + Half-life,RegimeEGScore + RegimeHLScore,-0.975255,-0.15350604999999998,25.72289156626506,4.15,-0.18072289156626464
w/o Regime-in-Reward,42,2023,All Regime,RegimeEGScore + RegimeHLScore + RegimeCVScore,-1.0235800000000002,-0.16070764999999995,26.78714859437751,-1.35,-2.489959839357429
w/o Regime-in-Reward,42,2023,All Base,ZScore20 + SpreadReturn + RollStd20 + DeltaBeta5d + VolS_roll20 + VolSM_roll20,-0.830055,-0.13142435,45.622489959839356,1.55,-1.586345381526104
w/o Regime-in-Reward,42,2024,ZScore20,ZScore20,0.26074499999999995,0.03710394999999998,19.9601593625498,0.9,0.4980079681274899
w/o Regime-in-Reward,42,2024,SpreadReturn,SpreadReturn,-0.06119000000000002,-0.0098403,17.54980079681275,-0.7,-0.1593625498007969
w/o Regime-in-Reward,42,2024,RollStd20,RollStd20,-0.56601,-0.08309369999999996,21.533864541832667,14.35,3.286852589641434
