variant,seed,test_year,group,features,repeat,block_length,n_days,baseline_sharpe,perturbed_sharpe,sharpe_loss,baseline_net_pnl,perturbed_net_pnl,net_pnl_loss,action_disagreement_pct,delta_position_changes,delta_flat_pct
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,4,20,251,-0.8102,-0.726,-0.08420000000000005,-0.19155,-0.170916,-0.020633999999999986,1.9920318725099602,0,0.0
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,5,20,251,-0.8102,-0.7827,-0.02750000000000008,-0.19155,-0.184929,-0.006620999999999988,3.187250996015936,-1,-0.39840637450199523
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,6,20,251,-0.8102,-0.7731,-0.03710000000000002,-0.19155,-0.182077,-0.00947300000000001,2.788844621513944,0,0.0
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,7,20,251,-0.8102,-0.8226,0.012399999999999967,-0.19155,-0.194243,0.002693000000000001,1.1952191235059761,1,0.0
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,8,20,251,-0.8102,-0.5946,-0.2156,-0.19155,-0.140642,-0.05090800000000001,2.3904382470119523,0,0.0
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,9,20,251,-0.8102,-0.8787,0.0685,-0.19155,-0.20782,0.016270000000000007,4.382470119521913,3,0.3984063745019917
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,10,20,251,-0.8102,-0.7838,-0.02639999999999998,-0.19155,-0.184924,-0.006625999999999993,0.796812749003984,0,0.3984063745019917
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,11,20,251,-0.8102,-0.8112,0.0010000000000000009,-0.19155,-0.191466,-8.400000000000074e-05,2.788844621513944,-2,-0.7968127490039869
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,12,20,251,-0.8102,-0.7838,-0.02639999999999998,-0.19155,-0.184924,-0.006625999999999993,0.796812749003984,0,0.3984063745019917
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,13,20,251,-0.8102,-0.8112,0.0010000000000000009,-0.19155,-0.191466,-8.400000000000074e-05,2.788844621513944,-2,-0.7968127490039869
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,14,20,251,-0.8102,-0.6241,-0.18610000000000004,-0.19155,-0.147681,-0.04386899999999999,2.3904382470119523,0,-0.39840637450199523
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,15,20,251,-0.8102,-0.726,-0.08420000000000005,-0.19155,-0.170916,-0.020633999999999986,1.9920318725099602,0,0.0
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,16,20,251,-0.8102,-0.718,-0.09220000000000006,-0.19155,-0.169035,-0.022515000000000007,1.9920318725099602,2,0.7968127490039834
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,17,20,251,-0.8102,-0.7437,-0.0665,-0.19155,-0.175139,-0.01641100000000001,1.593625498007968,0,0.3984063745019917
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,18,20,251,-0.8102,-0.7437,-0.0665,-0.19155,-0.175139,-0.01641100000000001,1.593625498007968,0,0.3984063745019917
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,19,20,251,-0.8102,-0.7437,-0.0665,-0.19155,-0.175139,-0.01641100000000001,1.593625498007968,0,0.3984063745019917
Full IQN,42,2021,RegimeHLScore,RegimeHLScore,0,20,251,-0.8102,-1.4661,0.6558999999999999,-0.19155,-0.346433,0.154883,18.326693227091635,2,0.7968127490039834
Full IQN,42,2021,RegimeHLScore,RegimeHLScore,1,20,251,-0.8102,-0.848,0.037799999999999945,-0.19155,-0.200373,0.008822999999999998,13.94422310756972,4,0.7968127490039834
Full IQN,42,2021,RegimeHLScore,RegimeHLScore,2,20,251,-0.8102,-1.1422,0.3320000000000001,-0.19155,-0.263795,0.072245,16.334661354581673,19,3.5856573705179287
Full IQN,42,2021,RegimeHLScore,RegimeHLScore,3,20,251,-0.8102,-0.3575,-0.45270000000000005,-0.19155,-0.083085,-0.10846499999999999,13.545816733067728,5,1.195219123505975
Full IQN,42,2021,RegimeHLScore,RegimeHLScore,4,20,251,-0.8102,-1.3421,0.5319,-0.19155,-0.314204,0.12265399999999999,19.12350597609562,6,-0.7968127490039869
